волыночка	волынка
воришка	вор
ворюга	вор
восьмерочка	восьмерка
вповалочку	вповалку
всадничек	всадник
вулканчик	вулкан
конфеточка	конфета
конфетка	конфета
конфликтик	конфликт
концептуальненько	концептуально
копеечка	копейка
Коринка	Корина
коротенько	коротко
коротковато	коротко
коротышечка	коротышка
косыночка	косынка
кофточка	кофта
красноморденький	красномордый
кратенький	краткий
кремчик	крем
крепенький	крепкий
крепковатый	крепкий
крестьяночка	крестьянка
криночка	кринка
кроссовочка	кроссовка
крошечка	кроха
крошка	кроха
кругловатый	круглый
кругленький	круглый
кругляшечка	кругляшка
крутенько	круто
крутоватенько	круто
крутовато	круто
крыска	крыса
крючочек	крючок
Ксюшка	Ксюша
Ксюшенька	Ксюша
Ксюшечка	Ксюша
кузовок	кузов
кузовочек	кузов
куличик	кулич
курчавенький	курчавый
кухарочка	кухарка
кухонька	кухня
ладненько	ладно
ладнехонько	ладно
легонечко	легко
легонько	легко
легошенько	легко
лесок	лес
лесочек	лес
Лидка	Лида
Лидочка	Лида
лилипуточка	лилипутка
лимончик	лимон
парничок	парник
паспорточек	паспорт
паутиночка	паутинка
пациентик	пациент
Пашка	Паша
Пашенька	Паша
пегенький	пегий
пелеринка	пелерина
пелериночка	пелерина
перевальчик	перевал
перевозочка	перевозка
переживаньице	переживание
расчудесненький	расчудесный
резковатый	резкий
резковато	резко
репертуарчик	репертуар
решеточка	решетка
рисочка	риска
ритуальчик	ритуал
ровненький	ровный
ровнехонький	ровный
Ромочка	Рома
росленький	рослый
россияночка	россиянка
ротик	рот
роточек	рот
рубильничек	рубильник
рублик	рубль
рукавчик	рукав
ручеечек	ручей
ручеек	ручей
рыхленький	рыхлый
рыхловатый	рыхлый
рюкзачок	рюкзак
рябинушка	рябина
рябинка	рябина
рязаночка	рязанка
галечка	галька
гаражик	гараж
гармошечка	гармошка
гарнизончик	гарнизон
генеральчик	генерал
гимнасточка	гимнастка
гитарка	гитара
Глашечка	Глаша
глоточек	глоток
глуховато	глухо
глянцеватый	глянцевый
гнусненький	гнусный
гнусноватый	гнусный
говорочек	говор
городишко	город
городок	город
прегорько	горько
горьковато	горько
горенько	горько
горьконько	горько
горькохонько	горько
лисичка	лиса
личиночка	личинка
ложбиночка	ложбинка
лоскуток	лоскут
лоскутик	лоскут
Любушка	Люба
Любаша	Люба
Любочка	Люба
Любанька	Люба
Людмилка	Людмила
Людмилочка	Людмила
люстрочка	люстра
малюточка	малютка
малявочка	малявка
мамочка	мама
мамашка	мама
Маменька	мама
мамуся	мама
маманька	маманя
маманечка	маманя
Марфушка	Марфуша
матерок	мат
маячок	маяк
медсестричка	медсестра
мероприятьице	мероприятие
метелочка	метелка
метисочка	метиска
перестроечка	перестройка
перстенечек	перстенек
пестровато	пестро
пестренько	пестро
петардочка	петарда
петелька	петля
печенка	печень
печурочка	печь
печка	печь
печурка	печь
пиджачок	пиджак
пиздатенько	пиздато
пионерочка	пионерка
пистолетик	пистолет
плетка	плеть
плеточка	плеть
плетушка	плеть
пломбочка	пломба
плотик	плот
плот	плотик
плюгавенький	плюгавый
побывочка	побывка
поведеньице	поведение
повесточка	повестка
поганочка	поганка
сапожок	сапог
сапожище	сапог
сбочку	сбоку
свежевато	свежо
свеженько	свежо
волюшка	воля
вонюченький	вонючий
вприсядочку	вприсядку
всячинка	всячина
вторничек	вторник
входик	вход
конусик	конус
концертик	концерт
корешочек	корешок
коровенка	корова
коровушка	корова
коровка	корова
косоглазенький	косоглазый
костлявенький	костлявый
косулечка	косуля
котомочка	котомка
кошмарненько	кошмарно
красивенький	красивый
красотулечка	красотка
красоточка	красотка
кредитик	кредит
крестик	крест
кровинушка	кровинка
кубик	куб
кубочек	кубок
Кузя	Кузьма
кумушка	кума
купальничек	купальник
курносенький	курносый
куценький	куцый
кучерявенький	кучерявый
лампочка	лампа
ласковенький	ласковый
лебедушка	лебеда
ледок	лед
ледокольчик	ледокол
лексикончик	лексикон
Лерочка	Лера
Лешенька	Леша
Лизонька	Лиза
Лизочка	Лиза
Лизанька	Лиза
парнишечка	парень
парнишка	парень
паренек	парень
парниша	парень
пастушок	пастух
пачечка	пачка
паштетик	паштетик
пеленочка	пеленка
перевязочка	перевязка
расчетик	расчет
расширеньице	расширение
рваненький	рваный
режимчик	режим
резвенько	резво
резвехонько	резво
рекламка	реклама
репейничек	репейник
ресничка	ресница
Риточка	Рита
розочка	роза
розеточка	розетка
рыбешка	рыба
рыбина	рыба
рыжеватенький	рыжеватый
рыльце	рыло
рябоватый	рябой
рябенький	рябой
ряшка	ряха
самобраночка	самобранка
вьетнамочка	вьетнамка
гадалочка	гадалка
главненький	главный
глазочек	глазок
гламурненько	гламурно
глупенько	глупо
преглупо	глупо
глуповато	глупо
гнездышко	гнездо
говнище	говно
голубеночек	голубенок
гопничек	гопник
горилочка	горилка
городочек	городок
горшочек	горшок
горяченько	горячо
листик	лист
лифтик	лифт
лихорадочка	лихорадка
личико	лицо
лобик	лоб
лодчонка	лодка
лодочка	лодка
луковичка	луковица
луковка	луковица
луночка	лунка
лучинка	лучина
льготочка	льгота
прелюбезно	любезно
Мадленочка	Мадлена
мазочек	мазок
майонезик	майонез
Максимка	Максим
Максимушка	Максим
малышонок	малыш
малышечка	малышка
Мананочка	Манана
материальчик	материал
машиночка	машинка
медальончик	медальон
медненький	медный
мелконький	мелкий
мелковатый	мелкий
меточка	метка
методичненько	методично
перспективка	перспектива
перспективочка	перспектива
перуаночка	перуанка
перчаточка	перчатка
Петечка	Петя
Петенька	Петя
Петька	Петя
пингвинчик	пингвин
пирушка	пир
письмишко	письмо
письмецо	письмо
плавочки	плавки
планетка	планета
платьишко	платье
платьице	платье
плотоядьненький	плотоядный
повестушка	повесть
поврежденьице	повреждение
сандалик	сандалия
Светланка	Светлана
Светланочка	Светлана
свечкой	свечой
свининка	свинина
свинушка	свинья
свиточек	свиток
связочка	связка
седоватый	седой
седенький	седой
секретуточка	секретутка
серединка	середина
серединочка	середина
середка	середина
середнячок	середняк
сероглазенький	сероглазый
сеструха	сестра
сестренка	сестра
сестреночка	сестра
сестричка	сестра
сестрица	сестра
сигнальчик	сигнал
синенько	сине
синичка	синица
синячок	синяк
сипловато	сипло
сиреневатый	сиреневый
сиреневенький	сиреневый
сисечка	сиська
гостиничка	гостиница
Гошка	Гоша
гравировочка	гравировка
грамотка	грамота
грибок	гриб
грибочек	гриб
гримаска	гримаса
впечатленьице	впечатление
врунишка	врун
всмяточку	всмятку
вспышечка	вспышка
коняга	конь
коник	конь
корешок	корень
костерок	костер
костерочек	костер
костюмчик	костюм
Костенька	Костя
котик	кот
котяра	кот
котище	кот
котелочек	котелок
котеночек	котенок
котлованчик	котлован
коттеджик	коттедж
кофеечек	кофеек
крайненький	крайний
красноглазенький	красноглазый
креативненько	креативно
креслице	кресло
крошечка	крошка
кружечка	кружка
кручинушка	кручина
крысеночек	крысенок
кубичек	кубик
кудлатенький	кудлатый
кудрявенький	кудрявый
