Я отдам за 25 .	ты отдашь за 25 .
Я работаю без выходных .	ты работаешь без выходных .
Я отдам за 1000р .	ты отдашь за 1000р .
Не знала я Шеллак .	Не знала ты Шеллак .
Так как я обучилась недавно .	Так как ты обучилась недавно .
Я продаю ВАЗ 2114 .	ты продаешь ВАЗ 2114 .
На остановку я подойду .	На остановку ты подойдешь .
Я нахожусь в Щекино .	ты находишься в Щекино .
Я наоборот свои выпрямляю .	ты наоборот свои выпрямляешь .
С системой я расту .	С системой ты растешь .
Я ошиблась с размером .	ты ошиблась с размером .
Я скину свой ном .	ты скинешь свой ном .
Предоплаты я не беру .	Предоплаты ты не берешь .
Я продаю намного дешеле .	ты продаешь намного дешеле .
Как я стал драматургом .	Как ты стал драматургом .
Я ПРОДАМ за 11500руб ...	ты продашь за 11500руб ...
Я продаю за 3499руб .	ты продаешь за 3499руб .
Я нахожусь в Зеленограде .	ты находишься в Зеленограде .
Здравствуйте я ищу работу .	Здравствуйте ты ищешь работу .
Я учусь в СамГСПУ .	ты учишься в СамГСПУ .
Я вяжу и вышиваю .	ты вяжешь и вышиваешь .
Полюбила я парнишку исп .	Полюбила ты парнишку исп .
Я продаю за 1150 .	ты продаешь за 1150 .
Я одела один раз .	ты одела один раз .
Я гарантирую возврат денег !	ты гарантируешь возврат денег !
Я не ношу подделки !	ты не носишь подделки !
В Орифлейме я есть .	В Орифлейме ты есть .
Я ищу работу срочно .	ты ищешь работу срочно .
Я жду Ваших предложений .	ты ждешь Ваших предложений .
Я ОТДАМ ЗДЕСЬ ТАК ЖЕ .	ты отдашь ЗДЕСЬ ТАК ЖЕ .
Я отдаю дешево ! !	ты отдаешь дешево ! !
Я покупала на 38,5 .	ты покупала на 38,5 .
Я работал помощником вентияционщика .	ты работал помощником вентияционщика .
Я являюсь третьим владельцем .	ты являешься третьим владельцем .
Я продаю за 1000 .	ты продаешь за 1000 .
Я брал алиментного щенка .	ты брал алиментного щенка .
Что я дам компании ?	Что ты дашь компании ?
Я нахожусь на Жилплощадке .	ты находишься на Жилплощадке .
Я и так отдам ...	ты и так отдашь ...
Потеплеет я этим займусь .	Потеплеет ты этим займешься .
Я покупала в магазине Мвидео	ты покупала в магазине Мвидео
Не правильно я посчитала .	Не правильно ты посчитала .
Я живу в Казахстане .	ты живешь в Казахстане .
Брала я для дочери .	Брала ты для дочери .
В комнате проживаю я сама	В комнате проживаешь ты сама
Так что я отдаю даром .	Так что ты отдаешь даром .
Я иногородний ищу с проживанием	ты иногородний ищешь с проживанием
Следующую страховку оплачиваю я .	Следующую страховку оплачиваешь ты .
Я ЗА 3ТЫС КУПИЛ .	ты ЗА 3ТЫС КУПИЛ .
Я сам живу в Хасавюрте	ты сам живешь в Хасавюрте
Я , Дмирий ищу работу	ты , Дмирий ищешь работу
Я ищу новую семью .	ты ищешь новую семью .
Я скажу всё по телефону	ты скажешь всё по телефону
Я попала в ДТП .	ты попала в ДТП .
Я ищу постоянную работу .	ты ищешь постоянную работу .
Я продаю за 250р .	ты продаешь за 250р .
Я приехал из Донбасса .	ты приехал из Донбасса .
Габариты я не знаю .	Габариты ты не знаешь .
Я живу в Эннель юрте	ты живешь в Эннель юрте
Я нахожусь в Краснодаре .	ты находишься в Краснодаре .
Я являюсь собственником ! !	ты являешься собственником ! !
Я ищу работу сиделкой .	ты ищешь работу сиделкой .
Как я ловил человечков .	Как ты ловил человечков .
Новую я не заправлял .	Новую ты не заправлял .
Я рекомендую своим пациентам !	ты рекомендуешь своим пациентам !
00 я проконсультирую Звоните Сейчас	00 ты проконсультируешь Звоните Сейчас
Я не одевала вообще !	ты не одевала вообще !
Я хочу сниму комната .	ты хочешь снимешь комната .
Я просто люблю комфорт .	ты просто любишь комфорт .
Я плачу за переоформления .	ты платишь за переоформления .
Я ПРОДАМ за 11500руб .	ты продашь за 11500руб .
Я сама подработку ищу !	ты сама подработку ищешь !
Я обхожусь без саба .	ты обходишься без саба .
Пишите СМС я перезвоню !!!	Пишите СМС ты перезвонишь !!!
Я бы сказал новые .	ты бы сказал новые .
Я электросваршик ищу работу срочно	ты электросваршик ищешь работу срочно
Я отдаю за полцены !	ты отдаешь за полцены !
Я ношу 40 размер .	ты носишь 40 размер .
Приезжайте я с Воронежа .	Приезжайте ты с Воронежа .
Почтой я НЕ отправляю .	Почтой ты НЕ отправляешь .
Я являюсь студенткой МГУ .	ты являешься студенткой МГУ .
Я познаю мир 2 .	ты познаешь мир 2 .
Я потеряла ваш номер !	ты потеряла ваш номер !
Я поменяю без доплаты .	ты поменяешь без доплаты .
Я жду ваших звонков .	ты ждешь ваших звонков .
Я брала для города .	ты брала для города .
Я проживаю на Елизаровской .	ты проживаешь на Елизаровской .
Я бригадир , звоните .	ты бригадир , звоните .
Я не жалею анестезии .	ты не жалеешь анестезии .
Я прогадала с размером .	ты прогадала с размером .
Я помню чудное мгновенье .	ты помнишь чудное мгновенье .
Я отдам за 24 .	ты отдашь за 24 .
Я работаю по предоплате .	ты работаешь по предоплате .
Я продаю за 2000р .	ты продаешь за 2000р .
Здравствуйте я предстовитель керамике .	Здравствуйте ты предстовитель керамике .
Я предлагаю услуги парикмахера .	ты предлагаешь услуги парикмахера .
Процент я не беру .	Процент ты не берешь .
Охотой я не занималась .	Охотой ты не занималась .
Я продаю за 1800 .	ты продаешь за 1800 .
Примерку я не предоставляю .	Примерку ты не предоставляешь .
Я отдаю за 7000 .	ты отдаешь за 7000 .
Я продаю за 850р .	ты продаешь за 850р .
Я нахожусь на северке .	ты находишься на северке .
Я пришлю на почту .	ты пришлешь на почту .
Я нахожусь в декрете .	ты находишься в декрете .
Я живу селе Энгель юрт	ты живешь селе Энгель юрт
Я закончила курсы швеии !	ты закончила курсы швеии !
Я продам за 2500р .	ты продашь за 2500р .
Я отдам за 500р .	ты отдашь за 500р .
Я отдаю за 8000 .	ты отдаешь за 8000 .
Я простыла и кашляла .	ты простыла и кашляла .
Я УЧУ НЕ СОБАКУ .	ты учишь НЕ СОБАКУ .
Пишите я сам перезвоню .	Пишите ты сам перезвонишь .
Я сам машину переоформил .	ты сам машину переоформил .
Я ищу работу прорабом .	ты ищешь работу прорабом .
Сам я нахожусь в Нижнем Тагиле	Сам ты находишься в Нижнем Тагиле
Я продаю за 3499 .	ты продаешь за 3499 .
Я ЕДУ В ВЫБОРГ !	ты едешь В ВЫБОРГ !
Я частник продаю свою машину	ты частник продаешь свою машину
Теперь я люблю деньги .	Теперь ты любишь деньги .
Я отдам за 3000 .	ты отдашь за 3000 .
Я Жахангир ищу работу .	ты Жахангир ищешь работу .
Я нахожусь в Южноуральске .	ты находишься в Южноуральске .
Я ИЩУ РАБОТУ УБОРЩИЦЕЙ !	ты ищешь РАБОТУ УБОРЩИЦЕЙ !
Я сам увлекаюсь гармонью .	ты сам увлекаешься гармонью .
Я не скупаю телефоны !	ты не скупаешь телефоны !
Я ищу работу серьезную .	ты ищешь работу серьезную .
Я рассчитывают в пол цены	ты рассчитывают в пол цены
Я являюсь собственником квартиры .	ты являешься собственником квартиры .
Я езжу по договорам .	ты ездишь по договорам .
Я отдам за 20000 .	ты отдашь за 20000 .
Икону я не освящала .	Икону ты не освящала .
Ездил только лично я .	Ездил только лично ты .
Я очень люблю животных .	ты очень любишь животных .
Я тоже так считал .	ты тоже так считал .
Я являюсь СЕО специалистом .	ты являешься СЕО специалистом .
Я использовала от нуля .	ты использовала от нуля .
Я просто оставлю это здесь	ты просто оставишь это здесь
Я продаю за 10500 !	ты продаешь за 10500 !
Пароль я не знаю !	Пароль ты не знаешь !
Я являюсь собственником помещения .	ты являешься собственником помещения .
Я за 2000 в розницу отдам	ты за 2000 в розницу отдашь
Я отдаю за 1000 .	ты отдаешь за 1000 .
Я продам за 6 .	ты продашь за 6 .
Я отдаю за 40000р !	ты отдаешь за 40000р !
Я отдаю за 15 .	ты отдаешь за 15 .
Я ищу работу расклейщика .	ты ищешь работу расклейщика .
Просто я немножко похудел .	Просто ты немножко похудел .
Я больше кроссовки люблю .	ты больше кроссовки любишь .
Я ищу работу уборщицы .	ты ищешь работу уборщицы .
Я проживаю в Морозовске .	ты проживаешь в Морозовске .
Брал я за 6500 .	Брал ты за 6500 .
Я отдам за 5000 .	ты отдашь за 5000 .
Я носила как горнолыжку .	ты носила как горнолыжку .
Также я занимаюсь спортом .	Также ты занимаешься спортом .
Я отдам за 30 .	ты отдашь за 30 .
Я же продаю подростков .	ты же продаешь подростков .
Я осуществляю частную компьютерную помощь	ты осуществляешь частную компьютерную помощь
Я отдам за полцены .	ты отдашь за полцены .
Я привлекаю и притягиваю .	ты привлекаешь и притягиваешь .
Всюду Вселенную я объехал .	Всюду Вселенную ты объехал .
Я выходила на 4 !	ты выходила на 4 !
Чел я другое объявление выкладываю	Чел ты другое объявление выкладываешь
Отклик я перезвоню телефон заблокирован	Отклик ты перезвонишь телефон заблокирован
Я отдаю за 10000 .	ты отдаешь за 10000 .
Состояние идеальное 44рр я потолстела	Состояние идеальное 44рр ты потолстела
Я покупала за 294 .	ты покупала за 294 .
Я живу в калуге .	ты живешь в калуге .
Я живу в Химках .	ты живешь в Химках .
Я ишу работа хорошо убираю	ты ишу работа хорошо убираешь
Я носила на 37 .	ты носила на 37 .
Я живу в Екатеринбурге .	ты живешь в Екатеринбурге .
Я даже не отвечаю !	ты даже не отвечаешь !
Я продаю за 3000000 .	ты продаешь за 3000000 .
Я за 6900 отдаю .	ты за 6900 отдаешь .
Я носила на 52 .	ты носила на 52 .
Я нахожусь в Зеленограде !	ты находишься в Зеленограде !
Я получил эту роль .	ты получил эту роль .
Я вышла на Пикадилли .	ты вышла на Пикадилли .
Я носила на 38р .	ты носила на 38р .
Я отдам за 6000 .	ты отдашь за 6000 .
Я НЕ ПОКУПАЮ МОНЕТЫ .	ты НЕ покупаешь МОНЕТЫ .
Я занимаюсь изготовлением топиариев .	ты занимаешься изготовлением топиариев .
Я ищу работу поваром .	ты ищешь работу поваром .
Наращивание я не делаю !!!	Наращивание ты не делаешь !!!
Я отвечаю за всё .	ты отвечаешь за всё .
Я ищу подработку промоутером !	ты ищешь подработку промоутером !
Я никуда не выезжаю .	ты никуда не выезжаешь .
Я люблю свою работу .	ты любишь свою работу .
Я отвечу - ЗДОРОВЬЕМ !	ты ответишь - ЗДОРОВЬЕМ !
Я отдам по 700 !	ты отдашь по 700 !
Я отдаю все за 2500	ты отдаешь все за 2500
Я ИЩУ НОРМАЛЬНУЮ РАБОТУ !!!	ты ищешь НОРМАЛЬНУЮ РАБОТУ !!!
Я сижу в декрете !	ты сидишь в декрете !
Я покупал для пробокса .	ты покупал для пробокса .
